2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:51:59 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:04 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:09 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:14 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:19 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:24 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:29 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:34 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:39 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'.')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI1/bsp/GPS')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI1/bsp/streaming')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 2] listdir(b'C:/Pi/RPI2/bsp/GPS')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI1/bsp/PARAM/PARAM_RPI1_MONITOR.txt')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 3] listdir(b'C:/Pi/RPI2/bsp/streaming')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] open(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt', 'rb') -> 00000000
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] stat(b'C:/Pi/RPI2/bsp/PARAM/PARAM_RPI2_MONITOR.txt')
2026-03-30 13:52:44 | DEBUG | paramiko.transport.sftp | [chan 1] close(00000000)
2026-03-30 13:52:49 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
2026-03-30 13:52:49 | DEBUG | paramiko.transport.sftp | [chan 0] listdir(b'.')
